tourId,tourTitle,stopId,stopTitle,arPriority,arType,assetStatus,iosAsset,androidAsset,webAsset,scale,rotationYDeg,anchorStyle,fallbackType,coordQuality,triggerRadiusM,assetNeeded,estimatedEffort,notes,imageProvider,falModel,falPrompt,falImageSize,generatedImagePath,stabilityEndpoint,stabilityPrompt,stabilityAspectRatio,stabilityOutputFormat,replicateModel,replicatePrompt,replicateAspectRatio,replicateOutputFormat,fallbackImageProvider,generatedImageProvider,stylePreset,visualPriority,historicalEra,negativePrompt
black-american-legacy-and-quaker-heritage,Black American Legacy & Quaker Heritage,black-american-legacy-and-quaker-heritage-mother-bethel-ame-church,Mother Bethel AME Church,1,portal_reconstruction,planned,/models/mother-bethel-ame-church.usdz,/models/mother-bethel-ame-church.glb,/models/mother-bethel-ame-church.glb,1,180,front_of_user,card,approximate,40,exterior reconstruction scene; site card; archival textures,high,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality portal reconstruction experience at Mother Bethel AME Church in Philadelphia. Show exterior reconstruction scene; site card; archival textures.,landscape_4_3,assets/generated/ar-references/black-american-legacy-and-quaker-heritage-mother-bethel-ame-church.png,core,Concept art for a mobile augmented reality portal reconstruction experience at Mother Bethel AME Church in Philadelphia. Show exterior reconstruction scene; site card; archival textures. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png,black-forest-labs/flux-pro,"Atmospheric concept art for a mobile augmented reality portal reconstruction experience at Mother Bethel AME Church in Philadelphia. Show exterior reconstruction scene; site card; archival textures. Historically grounded. Strong cinematic composition for an AR tour app. Historical era focus: 18th to 19th century Philadelphia. Use atmospheric lighting, layered depth, strong focal composition, and dramatic but historically respectful staging. Emphasize mood, depth, period atmosphere, and immersive scene presence. Optimize for atmospheric storytelling, cinematic scene composition, and emotionally strong historical reconstruction. Avoid: science fiction elements, neon cyberpunk styling, modern cars, modern glass towers, exaggerated fantasy ruins. Historically grounded. Strong composition for an AR tour app.",3:2,png,stability,replicate,cinematic,atmosphere,18th to 19th century Philadelphia,"science fiction elements, neon cyberpunk styling, modern cars, modern glass towers, exaggerated fantasy ruins"
black-american-legacy-and-quaker-heritage,Black American Legacy & Quaker Heritage,black-american-legacy-and-quaker-heritage-president-s-house-liberty-bell-center,President's House / Liberty Bell Center,2,portal_reconstruction,planned,/models/president-s-house-liberty-bell-center.usdz,/models/president-s-house-liberty-bell-center.glb,/models/president-s-house-liberty-bell-center.glb,1,180,front_of_user,card,approximate,40,household reconstruction; figure markers; timeline overlays,high,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality portal reconstruction experience at President's House / Liberty Bell Center in Philadelphia. Show household reconstruction; figure markers; timeline overlays.,landscape_4_3,assets/generated/ar-references/black-american-legacy-and-quaker-heritage-president-s-house-liberty-bell-center.png,core,"Concept art for a mobile augmented reality portal reconstruction experience at President's House / Liberty Bell Center in Philadelphia. Show household reconstruction; figure markers; timeline overlays. Historically grounded. Rich visual detail. Strong composition for an AR tour app. Historical era focus: 18th to 19th century Philadelphia. Use atmospheric lighting, layered depth, strong focal composition, and dramatic but historically respectful staging. Emphasize mood, depth, period atmosphere, and immersive scene presence. Optimize for high-detail environment rendering, facade structure, and crisp surface detail. Avoid: science fiction elements, neon cyberpunk styling, modern cars, modern glass towers, exaggerated fantasy ruins. Historically grounded. Strong composition for an AR tour app.",3:2,png,black-forest-labs/flux-pro,Atmospheric concept art for a mobile augmented reality portal reconstruction experience at President's House / Liberty Bell Center in Philadelphia. Show household reconstruction; figure markers; timeline overlays. Historically grounded. Strong cinematic composition for an AR tour app.,3:2,png,stability,stability,cinematic,atmosphere,18th to 19th century Philadelphia,"science fiction elements, neon cyberpunk styling, modern cars, modern glass towers, exaggerated fantasy ruins"
black-american-legacy-and-quaker-heritage,Black American Legacy & Quaker Heritage,black-american-legacy-and-quaker-heritage-johnson-house,Johnson House,3,historical_figure_presence,planned,/models/johnson-house.usdz,/models/johnson-house.glb,/models/johnson-house.glb,1,180,front_of_user,card,verified,40,Underground Railroad scene; host figure silhouette; route overlay,high,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality historical figure presence experience at Johnson House in Philadelphia. Show Underground Railroad scene; host figure silhouette; route overlay.,landscape_4_3,assets/generated/ar-references/black-american-legacy-and-quaker-heritage-johnson-house.png,core,Concept art for a mobile augmented reality historical figure presence experience at Johnson House in Philadelphia. Show Underground Railroad scene; host figure silhouette; route overlay. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png,black-forest-labs/flux-pro,"Atmospheric concept art for a mobile augmented reality historical figure presence experience at Johnson House in Philadelphia. Show Underground Railroad scene; host figure silhouette; route overlay. Historically grounded. Strong cinematic composition for an AR tour app. Historical era focus: 18th to 19th century Philadelphia. Use atmospheric lighting, layered depth, strong focal composition, and dramatic but historically respectful staging. Emphasize strong human silhouette, respectful figure staging, and recognizable pose over facial close-up detail. Optimize for atmospheric storytelling, cinematic scene composition, and emotionally strong historical reconstruction. Avoid: uncanny faces, caricature proportions, modern clothing, modern accessories, crowd clutter. Historically grounded. Strong composition for an AR tour app.",3:2,png,stability,replicate,cinematic,silhouette,18th to 19th century Philadelphia,"uncanny faces, caricature proportions, modern clothing, modern accessories, crowd clutter"
black-american-legacy-and-quaker-heritage,Black American Legacy & Quaker Heritage,black-american-legacy-and-quaker-heritage-the-woodlands,The Woodlands,4,before_after_overlay,planned,/models/the-woodlands.usdz,/models/the-woodlands.glb,/models/the-woodlands.glb,1,180,front_of_user,card,verified,40,mansion overlay; cemetery context cards,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality before after overlay experience at The Woodlands in Philadelphia. Show mansion overlay; cemetery context cards.,landscape_4_3,assets/generated/ar-references/black-american-legacy-and-quaker-heritage-the-woodlands.png,core,"Concept art for a mobile augmented reality before after overlay experience at The Woodlands in Philadelphia. Show mansion overlay; cemetery context cards. Historically grounded. Rich visual detail. Strong composition for an AR tour app. Historical era focus: historic Philadelphia. Prioritize architectural fidelity, straight lines, facade detail, masonry, windows, signage, and historically believable materials. Emphasize exact building frontage, proportions, street-facing detail, and before/after alignment potential. Optimize for high-detail environment rendering, facade structure, and crisp surface detail. Avoid: warped facades, floating architecture, futuristic materials, incorrect street geometry, fantasy skyline. Historically grounded. Strong composition for an AR tour app.",3:2,png,,,,,fal,stability,architectural,facade_accuracy,historic Philadelphia,"warped facades, floating architecture, futuristic materials, incorrect street geometry, fantasy skyline"
rainbow-girls-philadelphia,Rainbow Girls Philadelphia,rainbow-girls-philadelphia-masonic-temple,Masonic Temple,5,object_on_plinth,planned,/models/masonic-temple.usdz,/models/masonic-temple.glb,/models/masonic-temple.glb,1,180,front_of_user,card,approximate,40,Rainbow jewels; ceremonial symbols; spatial story cards,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality object on plinth experience at Masonic Temple in Philadelphia. Show Rainbow jewels; ceremonial symbols; spatial story cards.,landscape_4_3,assets/generated/ar-references/rainbow-girls-philadelphia-masonic-temple.png,core,"Concept art for a mobile augmented reality object on plinth experience at Masonic Temple in Philadelphia. Show Rainbow jewels; ceremonial symbols; spatial story cards. Historically grounded. Rich visual detail. Strong composition for an AR tour app. Historical era focus: late 19th to 20th century Philadelphia. Prioritize architectural fidelity, straight lines, facade detail, masonry, windows, signage, and historically believable materials. Emphasize historically grounded objects, clothing, signage, and environment details over fantasy styling. Optimize for high-detail environment rendering, facade structure, and crisp surface detail. Avoid: floating fragments, broken anatomy, abstract sculptures, futuristic materials. Historically grounded. Strong composition for an AR tour app.",3:2,png,,,,,fal,stability,architectural,historical_accuracy,late 19th to 20th century Philadelphia,"floating fragments, broken anatomy, abstract sculptures, futuristic materials"
rainbow-girls-philadelphia,Rainbow Girls Philadelphia,rainbow-girls-philadelphia-please-touch-museum,Please Touch Museum,6,floating_story_card,planned,/models/please-touch-museum.usdz,/models/please-touch-museum.glb,/models/please-touch-museum.glb,1,180,front_of_user,card,approximate,40,animated story cards; photo frames,low,,fal,fal-ai/flux/dev,Concept art for a mobile augmented reality floating story card experience at Please Touch Museum in Philadelphia. Show animated story cards; photo frames.,landscape_4_3,assets/generated/ar-references/rainbow-girls-philadelphia-please-touch-museum.png,core,"Concept art for a mobile augmented reality floating story card experience at Please Touch Museum in Philadelphia. Show animated story cards; photo frames. Historically grounded. Rich visual detail. Strong composition for an AR tour app. Historical era focus: historic Philadelphia. Use clean editorial composition, readable foreground subject placement, and uncluttered negative space suitable for mobile AR cards. Emphasize clarity, readable composition, simple silhouettes, and reduced background clutter. Optimize for high-detail environment rendering, facade structure, and crisp surface detail. Avoid: busy backgrounds, unreadable layouts, overdecorated borders, dense clutter. Historically grounded. Strong composition for an AR tour app.",3:2,png,,,,,stability,stability,editorial,readability,historic Philadelphia,"busy backgrounds, unreadable layouts, overdecorated borders, dense clutter"
rainbow-girls-philadelphia,Rainbow Girls Philadelphia,rainbow-girls-philadelphia-shofuso-japanese-house-and-garden,Shofuso Japanese House & Garden,7,portal_reconstruction,planned,/models/shofuso-japanese-house-and-garden.usdz,/models/shofuso-japanese-house-and-garden.glb,/models/shofuso-japanese-house-and-garden.glb,1,180,front_of_user,card,verified,40,garden scene extension; cultural context overlay,high,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality portal reconstruction experience at Shofuso Japanese House & Garden in Philadelphia. Show garden scene extension; cultural context overlay.,landscape_4_3,assets/generated/ar-references/rainbow-girls-philadelphia-shofuso-japanese-house-and-garden.png,core,Concept art for a mobile augmented reality portal reconstruction experience at Shofuso Japanese House & Garden in Philadelphia. Show garden scene extension; cultural context overlay. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png,black-forest-labs/flux-pro,"Atmospheric concept art for a mobile augmented reality portal reconstruction experience at Shofuso Japanese House & Garden in Philadelphia. Show garden scene extension; cultural context overlay. Historically grounded. Strong cinematic composition for an AR tour app. Historical era focus: historic Philadelphia. Use atmospheric lighting, layered depth, strong focal composition, and dramatic but historically respectful staging. Emphasize mood, depth, period atmosphere, and immersive scene presence. Optimize for atmospheric storytelling, cinematic scene composition, and emotionally strong historical reconstruction. Avoid: science fiction elements, neon cyberpunk styling, modern cars, modern glass towers, exaggerated fantasy ruins. Historically grounded. Strong composition for an AR tour app.",3:2,png,stability,replicate,cinematic,atmosphere,historic Philadelphia,"science fiction elements, neon cyberpunk styling, modern cars, modern glass towers, exaggerated fantasy ruins"
divine-9-legacy-tour,Divine 9 Legacy Tour,divine-9-legacy-tour-alpha-phi-alpha-42nd-and-chestnut,Alpha Phi Alpha - 42nd & Chestnut,8,object_on_plinth,planned,/models/alpha-phi-alpha-42nd-and-chestnut.usdz,/models/alpha-phi-alpha-42nd-and-chestnut.glb,/models/alpha-phi-alpha-42nd-and-chestnut.glb,1,180,front_of_user,card,verified,40,crest; chapter marker; founding timeline objects,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality object on plinth experience at Alpha Phi Alpha - 42nd & Chestnut in Philadelphia. Show crest; chapter marker; founding timeline objects.,landscape_4_3,assets/generated/ar-references/divine-9-legacy-tour-alpha-phi-alpha-42nd-and-chestnut.png,core,"Concept art for a mobile augmented reality object on plinth experience at Alpha Phi Alpha - 42nd & Chestnut in Philadelphia. Show crest; chapter marker; founding timeline objects. Historically grounded. Rich visual detail. Strong composition for an AR tour app. Historical era focus: historic Philadelphia. Prioritize architectural fidelity, straight lines, facade detail, masonry, windows, signage, and historically believable materials. Emphasize historically grounded objects, clothing, signage, and environment details over fantasy styling. Optimize for high-detail environment rendering, facade structure, and crisp surface detail. Avoid: floating fragments, broken anatomy, abstract sculptures, futuristic materials. Historically grounded. Strong composition for an AR tour app.",3:2,png,,,,,fal,stability,architectural,historical_accuracy,historic Philadelphia,"floating fragments, broken anatomy, abstract sculptures, futuristic materials"
divine-9-legacy-tour,Divine 9 Legacy Tour,divine-9-legacy-tour-delta-sigma-theta-40th-and-market,Delta Sigma Theta - 40th & Market,9,floating_story_card,planned,/models/delta-sigma-theta-40th-and-market.usdz,/models/delta-sigma-theta-40th-and-market.glb,/models/delta-sigma-theta-40th-and-market.glb,1,180,front_of_user,card,verified,40,public act timeline; archival photos; chapter card,low,,fal,fal-ai/flux/dev,Concept art for a mobile augmented reality floating story card experience at Delta Sigma Theta - 40th & Market in Philadelphia. Show public act timeline; archival photos; chapter card.,landscape_4_3,assets/generated/ar-references/divine-9-legacy-tour-delta-sigma-theta-40th-and-market.png,core,"Concept art for a mobile augmented reality floating story card experience at Delta Sigma Theta - 40th & Market in Philadelphia. Show public act timeline; archival photos; chapter card. Historically grounded. Rich visual detail. Strong composition for an AR tour app. Historical era focus: historic Philadelphia. Use clean editorial composition, readable foreground subject placement, and uncluttered negative space suitable for mobile AR cards. Emphasize clarity, readable composition, simple silhouettes, and reduced background clutter. Optimize for high-detail environment rendering, facade structure, and crisp surface detail. Avoid: busy backgrounds, unreadable layouts, overdecorated borders, dense clutter. Historically grounded. Strong composition for an AR tour app.",3:2,png,,,,,stability,stability,editorial,readability,historic Philadelphia,"busy backgrounds, unreadable layouts, overdecorated borders, dense clutter"
divine-9-legacy-tour,Divine 9 Legacy Tour,divine-9-legacy-tour-iota-phi-theta-temple-greek-row,Iota Phi Theta - Temple Greek Row,10,historical_figure_presence,planned,/models/iota-phi-theta-temple-greek-row.usdz,/models/iota-phi-theta-temple-greek-row.glb,/models/iota-phi-theta-temple-greek-row.glb,1,180,front_of_user,card,verified,40,legacy scene; organization timeline; marker overlay,medium,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality historical figure presence experience at Iota Phi Theta - Temple Greek Row in Philadelphia. Show legacy scene; organization timeline; marker overlay.,landscape_4_3,assets/generated/ar-references/divine-9-legacy-tour-iota-phi-theta-temple-greek-row.png,core,Concept art for a mobile augmented reality historical figure presence experience at Iota Phi Theta - Temple Greek Row in Philadelphia. Show legacy scene; organization timeline; marker overlay. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png,black-forest-labs/flux-pro,"Atmospheric concept art for a mobile augmented reality historical figure presence experience at Iota Phi Theta - Temple Greek Row in Philadelphia. Show legacy scene; organization timeline; marker overlay. Historically grounded. Strong cinematic composition for an AR tour app. Historical era focus: late 19th to 20th century Philadelphia. Use atmospheric lighting, layered depth, strong focal composition, and dramatic but historically respectful staging. Emphasize strong human silhouette, respectful figure staging, and recognizable pose over facial close-up detail. Optimize for atmospheric storytelling, cinematic scene composition, and emotionally strong historical reconstruction. Avoid: uncanny faces, caricature proportions, modern clothing, modern accessories, crowd clutter. Historically grounded. Strong composition for an AR tour app.",3:2,png,stability,replicate,cinematic,silhouette,late 19th to 20th century Philadelphia,"uncanny faces, caricature proportions, modern clothing, modern accessories, crowd clutter"
