priority,tour,stop,ar_type,asset_needed,audio_needed,estimated_effort,status
1,Black American Legacy & Quaker Heritage,Mother Bethel AME Church,portal_reconstruction,"exterior reconstruction scene; site card; archival textures",yes,high,planned
2,Black American Legacy & Quaker Heritage,President's House / Liberty Bell Center,portal_reconstruction,"household reconstruction; figure markers; timeline overlays",yes,high,planned
3,Black American Legacy & Quaker Heritage,Johnson House,historical_figure_presence,"Underground Railroad scene; host figure silhouette; route overlay",yes,high,planned
4,Black American Legacy & Quaker Heritage,The Woodlands,before_after_overlay,"mansion overlay; cemetery context cards",yes,medium,planned
5,Rainbow Girls Philadelphia,Masonic Temple,object_on_plinth,"Rainbow jewels; ceremonial symbols; spatial story cards",yes,medium,planned
6,Rainbow Girls Philadelphia,Please Touch Museum,floating_story_card,"animated story cards; photo frames",yes,low,planned
7,Rainbow Girls Philadelphia,Shofuso Japanese House & Garden,portal_reconstruction,"garden scene extension; cultural context overlay",yes,high,planned
8,Divine 9 Legacy Tour,Alpha Phi Alpha - 42nd & Chestnut,object_on_plinth,"crest; chapter marker; founding timeline objects",yes,medium,planned
9,Divine 9 Legacy Tour,Delta Sigma Theta - 40th & Market,floating_story_card,"public act timeline; archival photos; chapter card",yes,low,planned
10,Divine 9 Legacy Tour,Iota Phi Theta - Temple Greek Row,historical_figure_presence,"legacy scene; organization timeline; marker overlay",yes,medium,planned
11,Black American Sports,The Palestra,portal_reconstruction,"historic game scene; score overlay; court reconstruction",yes,high,planned
12,Black American Sports,Joe Frazier's Gym (Cloverlay),historical_figure_presence,"training scene; gloves and belt object set; archival card",yes,high,planned
13,Black American Sports,Overbrook High School,floating_story_card,"Wilt and Kobe legacy cards; stats overlays",yes,low,planned
14,Black Inventors Tour,Lewis Latimer Light Bulb Exhibit,animated_diagram,"filament model; patent diagram animation; inventor card",yes,medium,planned
15,Black Inventors Tour,Garrett Morgan Traffic Signal,animated_diagram,"signal mechanism; intersection overlay; patent timeline",yes,medium,planned
16,Black Inventors Tour,Dr. Charles Drew Blood Bank,animated_diagram,"blood plasma storage explainer; medical card set",yes,medium,planned
17,Library Story Hop Tour,Rosenbach Museum & Library,floating_story_card,"manuscript cards; toy and book reveal; collection overlay",yes,low,planned
18,Library Story Hop Tour,Free Library - Central Parkway,floating_story_card,"literary quote cards; raven and book overlays; facade card",yes,low,planned
19,Library Story Hop Tour,Charles L. Blockson Collection,object_on_plinth,"hymnbook or archival object model; collection card",yes,medium,planned
20,Old York Road Corridor,Ogontz Theatre Site,portal_reconstruction,"theatre facade reconstruction; performance poster overlays",yes,high,planned
21,Old York Road Corridor,Cecil B. Moore Law Office,historical_figure_presence,"speech and activism overlay; office card; archival layer",yes,medium,planned
22,Old York Road Corridor,Happy Hollow Rec Center,before_after_overlay,"riot and community timeline; neighborhood memory overlay",yes,medium,planned
23,Masonic Scavenger Hunt,Opening clue site,puzzle_reveal,"symbol puzzle panel; tap targets; clue object set",yes,medium,planned
24,Masonic Scavenger Hunt,Final reveal site,puzzle_reveal,"reward reveal object; final sequence; badge animation",yes,medium,planned
25,Black Architects Tour,Signature landmark facade,before_after_overlay,"facade linework; architect notes; build-phase overlays",yes,medium,planned
26,SEPTA Broad Street Line,City Hall station,before_after_overlay,"station history layers; train graphics; wayfinding ghost",yes,medium,planned
27,MOVE Bombing Memorial,Primary memorial stop,portal_reconstruction,"sensitive archival reconstruction; testimony card set",yes,high,planned
28,Philly Black Art Odyssey,Signature mural stop,floating_story_card,"artist cards; mural segmentation overlays; animation loop",yes,low,planned
29,College Hop Tour,Strongest campus landmark,route_ghost,"campus route arrows; landmark reveal card; mascot overlay",yes,low,planned
30,Speakeasy Tour,Signature hidden venue,portal_reconstruction,"hidden entrance reveal; performance atmosphere; prohibition overlays",yes,high,planned
